Group,Course Name,Course Code
Biochemistry and Molecular Biology,Survey of Biochemistry and Molecular Biology Literature,BMB 411
Biochemistry and Molecular Biology,Physical Chemistry with Biological Applications,BMB 428
Biochemistry and Molecular Biology,Developmental Biology,BMB 430
Biochemistry and Molecular Biology,Advanced Immunology: Signaling in the Immune System,BMB 432
Biochemistry and Molecular Biology,Molecular and Cellular Toxicology,BMB 433
Biochemistry and Molecular Biology,Viral Pathogenesis,BMB 435
Biochemistry and Molecular Biology,Physiological Biochemistry,BMB 437
Biochemistry and Molecular Biology,Laboratory in Protein Purification and Enzymology,BMB 443
Biochemistry and Molecular Biology,"Laboratory in Proteins, Nucleic Acids and Molecular Cloning",BMB 442
Biochemistry and Molecular Biology,Laboratory in Molecular Genetics 1,BMB 445
Biochemistry and Molecular Biology,Model Systems and Approaches in Cell Biology Inquiry,BMB 448
Biochemistry and Molecular Biology,Microbial/ Molecular Genetics,BMB 450
Biochemistry and Molecular Biology,Cell Growth and Differentiation,BMB 460
Biochemistry and Molecular Biology,Molecular Medicine,BMB 464
Biochemistry and Molecular Biology,Protein Structure and Function,BMB 465
Biochemistry and Molecular Biology,Analytical Biochemistry,BMB 474
Biochemistry and Molecular Biology,Tumor Viruses and Oncogenes,BMB 480
Biochemistry and Molecular Biology,Functional Genomics,BMB 484
Biochemistry and Molecular Biology,Human Genomics and Biomedical Informatics,BMB 485
Biochemistry and Molecular Biology,Communities of Practice in Biochemistry and Molecular Biology,BMB 488
Biochemistry and Molecular Biology,Independent Studies,BMB 496
Biochemistry and Molecular Biology,Introduction to Bioinformatics,BMB 497F
Business Administration,Introduction to Business,B A 100
Business Administration,Cooperative Practicum with Business Offices,B A 195
Business Administration,Legal Environment of Business,B A 241
Business Administration,Social and Ethical Environment of Business,B A 242
Business Administration,"Social, Legal and Ethical Environment of Business",B A 243
Business Administration,Small Business Management,B A 250
Business Administration,Career Planning Strategies,B A 297A
Business Administration,Business Ethics,B A 297B
Business Administration,Project Risk and Change Management,B A 297C
Business Administration,Project Initiation and Planning,B A 297D
Business Administration,Project Scheduling and Integration,B A 297E
Business Administration,Project Management Costing and Control,B A 297F
Business Administration,MS Project Overview,B A 297G
Business Administration,Management and Organization,B A 304
Business Administration,Contemporary Skills for Business Professionals,B A 321
Business Administration,Negotiation Skills for Business Professionals,B A 322
Business Administration,"Socially Responsible, Sustainable and Ethical Business Practice",B A 342
Business Administration,International Business and Society,B A 364
Business Administration,Practicum in Business Administration,B A 395
Business Administration,Analyzing Business and Industry,B A 411
Business Administration,Integration and Research,B A 412
Business Administration,Preperation for Career Management,B A 420
Business Administration,Project Management,B A 421
Business Administration,Strategic Business Planning,B A 422
Business Administration,Strategies for Enterprise Sustainability,B A 441
Business Administration,"Sustainable Behavior of Consumers, Firms and Societies",B A 442
Business Administration,Business Strategy,B A 462
Business Administration,Research Project,B A 494
Business Administration,Financial and Managerial Accounting for Decision Making,ACCTG 211
Business Administration,Introductory Microeconomic Analysis and Policy,ECON 102
Business Administration,Introductory Macroeconomic Analysis and Policy,ECON 104
Business Administration,Corporate Finance,FIN 301
Business Administration,International Business Operations,I B 303
Business Administration,Basic Business Concepts,MGMT 301
Business Administration,Principles of Marketing,MKTG 301
Business Administration,Introduction to Business Information Systems,MIS 204
Business Administration,Supply Chain Management,SCM 301
Business Administration,Techniques of Calculus 1,MATH 110
Business Administration,Elementary Statistics,STAT 200
Business Administration,Principles of Taxation,ACCTG 405
Business Administration,Auditing,ACCTG 403
Business Administration,Managerial Accounting: Economic Perspective,ACCTG 404
Business Administration,Intermediate Financial Accounting 1,ACCTG 471
Business Administration,Intermediate Financial Accounting 2,ACCTG 472
Business Administration,Financial Statement Analysis,ACCTG 426
Business Administration,Organizational Communication,CAS 352
Business Administration,Advanced Business Writing,ENGL 419
Business Administration,Principles of Entrepreneurship,ENTR 300
Business Administration,Entrepreneurship and New Venture Creation,ENTR 320
Business Administration,Financing Entrepreneurial Ventures,ENTR 400
Business Administration,Principles of Taxation 1,ACCTG 405
Business Administration,Investment and Portfolio Analysis,FIN 420
Business Administration,Corporate Finance,FIN 301
Business Administration,Personal Financial Planning,FIN 330
Business Administration,Estate Planning,FIN 430
Business Administration,Retirement Planning,FIN 450
Business Administration,Portfolio Management and Analysis,FIN 461
Business Administration,Investment and Portfolio Analysis,FIN 420
Business Administration,Small Business Management,B A 250
Business Administration,Organizational Communication,CAS 352
Business Administration,Conflict Resolution and Negotiation,CAS 404
Business Administration,Introduction to Selling Techniques,MKTG 220
Business Administration,Leadership and Motivation,MGMT 321
Business Administration,Human Resources Management,MGMT 341
Business Administration,Contemporary Issues in Management,MGMT 401
Business Administration,Manageing Differences in Organizations,MGMT 445
Business Administration,International Business,MGMT 461
Business Administration,Customer Behaviour,MKTG 330
Business Administration,TBD,MKTG 422
Chemistry,Molecular Science,CHEM 001
Chemistry,Introductory Chemistry,CHEM 101
Chemistry,General Chemistry 2,CHEM 102
Chemistry,Introductory and General Chemistry,CHEM 106
Chemistry,Problem Solving in Chemistry,CHEM 108
Chemistry,Chemical Principles 1,CHEM 110
Chemistry,Chemical Experimental Chemistry 1,CHEM 111
Chemistry,Chemical Principles 2,CHEM 112
Chemistry,Experimental Chemistry 2,CHEM 113
Chemistry,Fundamentals of Organic Chemistry 1,CHEM 202
Chemistry,Fundamentals of Organic Chemistry 2,CHEM 203
Chemistry,Organic Chemistry 1,CHEM 210
Chemistry,Organic Chemistry 2,CHEM 212
Chemistry,Laboratory in Organic Chemistry,CHEM 213
Chemistry,Quantitative Analysis,CHEM 221
Chemistry,Analytical Chemistry,CHEM 227
Chemistry,Chemistry and Literature,CHEM 233 / ENGL 233
Chemistry,Special Problems and Research,CHEM 294
Chemistry,Environmental Chemistry and Analysis,CHEM 301
Chemistry,Introductory Inorganic Chemistry,CHEM 310
Chemistry,The Professional Chemistry,CHEM 316
Chemistry,Chemical Literature,CHEM 400
Chemistry,Chemistry in the Environment,CHEM 402
Chemistry,Nuclear Radiochemistry,CHEM 406
Chemistry,Computational Chemistry,CHEM 408
Chemistry,Inorganic Chemistry,CHEM 410
Chemistry,Transition Metal Chemistry,CHEM 412
Chemistry,Chemistry of the Elements,CHEM 413
Chemistry,Chemical Spectroscopy,CHEM 423W
Chemistry,Chromatography and Electrochemistry,CHEM 425
Chemistry,Stractural Analysis of Organic Compounds,CHEM 430
Chemistry,Organic and Inorganic Preparations,CHEM 432W
Chemistry,Surface Chemistry,CHEM 448
Chemistry,Physical Chemistry - Thermodynamics,CHEM 450
Chemistry,Physical Chemistry - Quantum Chemistry,CHEM 452
Chemistry,Experimental Physical Chemistry,CHEM 457
Chemistry,Advanced Experimental Physical Chemistry,CHEM 459W
Chemistry,Advanced Thermodynamics,CHEM 460
Chemistry,Advanced Quantum Chemistry,CHEM 462
Chemistry,Chemical Kinetics and Dynamics,CHEM 464
Chemistry,Molecular Thermodynamics,CHEM 466
Chemistry,Biological Chemistry,CHEM 476
Chemistry,Organic Reaction Mechanisms,CHEM 497A
Communications,The Mass Media and Society,COMM 100
Communications,Media and Democracy,COMM 110
Communications,Introduction to Media Effects,COMM 118
Communications,Advertising and Society,COMM 120
Communications,The Art of the Cinema,COMM 150
Communications,Basic News Writing Skills,COMM 160
Communications,Introduction to Sports Industry,COMM 170
Communications,Survey of Electronics Media and Telecommunications,COMM 180
Communications,Gaming and Interactive Media,COMM 190
Communications,"Gender, Diversity and the Media",COMM 205
Communications,Basic Photography for Communications,COMM 215
Communications,Writing for Media,COMM 230
Communications,Digital Cultures,COMM 234
Communications,Graphic Design for Communications,COMM 241
Communications,Basic Video/Film Making,COMM 242
Communications,Film History and Theory,COMM 250
Communications,The Nature of Media,COMM 251
Communications,News Writing and Reporting,COMM 260
Communications,The Literature of Journalism,COMM 261
Communications,Photojournalism,COMM 269
Communications,Introduction to Multimedia Production,COMM 270
Communications,Principles of Multimedia Journalism,COMM 271
Communications,Introduction to Telecommunications Technologies,COMM 280
Communications,Television Field Production,COMM 282
Communications,Television Studio Production,COMM 283
Communications,Voice Training for the Media,COMM 287
Communications,Introduction to Media and Politics,COMM 292
Communications,Research Project Courses,COMM 294
Communications,Newspaper Design and Development,COMM 296A
Communications,Media Graphics and Technology Skills,COMM 297A
Communications,Mass Communication Research,COMM 304
Communications,Digital Media Metrics,COMM 310
Communications,Applications for Media Writing,COMM 315
Communications,Introduction to Advertising,COMM 320
Communications,Microeconomic,ECON 102
Communications,Introductory Psychology,PSYCH 100
Communications,Elementary Statistics,STAT 200
Communications,Research Methods in Advertising,COMM 420
Communications,Advertising Creative Strategies,COMM 421W
Communications,Advertising Media Planning,COMM 422
Communications,Advertising Campaigns,COMM 424
Communications,Public Relations,COMM 370
Communications,Crisis Communications in Public Relations,COMM 373
Communications,International Mass Communications,COMM 410
Communications,Ethics and Regulation in Advertising and Public Relations,COMM 417
Communications,Media Effects,COMM 418
Communications,Advanced Advertising Campaigns,COMM 425
Communications,International and Intercultural Strategic Communication,COMM 426
Communications,Client/Agency Relations,COMM 427
Communications,Graphic Applications in Print Communications,COMM 468
Communications,Mass Media in History,COMM 401
Communications,Law of Mass Communications,COMM 403
Communications,News Media Ethics,COMM 409
Communications,Feature Writing,COMM 462
Communications,"Editorial, Opinion and Commentary Writing",COMM 464W
Computer Engineering,Calculus 1,MATH 140
Computer Engineering,Mechanics,PHYS 211
Computer Engineering,Chemical Principles,CHEM 110
Computer Engineering,Rethoric and Composition,ENGL 30
Computer Engineering,Calculus 2,MATH 141
Computer Engineering,Electricity and Magnetism,PHYS 212
Computer Engineering,Introduction to Programming Techniques,CMPSC 121
Computer Engineering,Differential Equation,MATH 250
Computer Engineering,Matrices,MATH 220
Computer Engineering,Intermediate Programming,CMPSC 122
Computer Engineering,Introduction to Digital Systems,CMPEN 270
Computer Engineering,Wave Motion and Quantum Physics,PHYS 214
Computer Engineering,Calculus of Several Variables,MATH 231
Computer Engineering,OOP with Web Applications,CMPSC 221
Computer Engineering,Circuits and Devices,EE 210
Computer Engineering,Microeconomics,ECON 102
Computer Engineering,Macroeconomics,ECON 104
Computer Engineering,Computer Organization and Design,CMPEN 331
Computer Engineering,Introduction to Computer Architecture,CMPEN 431
Computer Engineering,Electronic Circuit Design,EE 310
Computer Engineering,Systems Programming,CMPSC 311
Computer Engineering,Probability,STAT 418
Computer Engineering,Effective Speech,CAS 100
Computer Engineering,Communication Networks,CMPEN 362
Computer Engineering,Systems Programming ,CMPSC 311
Computer Engineering,Discrete Math for Computer Science,CMPSC 360
Computer Engineering,Operating Systems,CMPSC 473
Computer Engineering,Technical Writing,ENGL 202C
Computer Engineering,Signals and Systems,EE 353
Computer Engineering,Computer Engineering Project Design,CMPEN 482W
Computer Engineering,Data Structures and Algorithms,CMPSC 465
Computer Science,Computer Fundamentals and Applications,CMPSC 100
Computer Science,Introduction to C++ Programming,CMPSC 101
Computer Science,Introduction to Visual Programming,CMPSC 102
Computer Science,Introduction to Data Processing with COBOL,CMPSC 109
Computer Science,Logic for Computer Science,CMPSC 111
Computer Science,Introduction to Programming Techniques,CMPSC 121
Computer Science,Intermediate Programming ,CMPSC 122
Computer Science,Programming for Engineers with MATLAB,CMPSC 200
Computer Science,Programming for Engineers with C++,CMPSC 201
Computer Science,Programming for Engineers with FORTRAN,CMPSC 202
Computer Science,Introduction to Spreadsheets and Databases,CMPSC 203
Computer Science,Technocal Game Development,CMPSC 208
Computer Science,Object Oriented Programming with Web-Based Applications,CMPSC 221
Computer Science,Developing .NET Solutions with Visual Basic.NET,CMPSC 297A
Computer Science,Developing .NET Solutions wth C#,CMPSC 297B
Computer Science,Developing .NET Solutions with Visual Basic.NET,CMPSC 297C
Computer Science,Introduction to Programming with PHP,CMPSC 297E
Computer Science,Intermediate Visual Programming,CMPSC 302
Computer Science,Introduction to Systems Programming,CMPSC 311
Computer Science,Computer Organization and Architecture,CMPSC 312
Computer Science,Assembly Language Programming,CMPSC 313
Computer Science,Fundamentals of Communications Networks,CMPSC 335
Computer Science,Discrete Mathematics for Computer Science,CMPSC 360
Computer Science,Stateware Project,CMPSC 397A
Computer Science,UNIX and C,CMPSC 402
Computer Science,Data Structures Lab,CMPSC 412
Computer Science,Algorithms Lab,CMPSC 413
Computer Science,Net Centric Computing,CMPSC 421
Computer Science,Advanced Object-Oriented Programming,CMPSC 425
Computer Science,Object-Oriented Design,CMPSC 426
Computer Science,Programming in Ada,CMPSC 428
Computer Science,Database Design,CMPSC 430
Computer Science,Database Management Systems,CMPSC 431
Computer Science,Communications and Networking,CMPSC 436
Computer Science,Computer etwork Architecture and Programming,CMPSC 438
Computer Science,Artificial Intelligence,CMPSC 441
Computer Science,Artificial Intelligence,CMPSC 442
Computer Science,Introduction to Computer and Network Security,CMPSC 443
Computer Science,Secure Programming,CMPSC 444
Computer Science,Machine Learning and Algorithmic AI,CMPSC 448
Computer Science,Concurrent Scientific Programming ,CMPSC 450
Computer Science,"Nu,erical Computations",CMPSC 451
Computer Science,Numerical Analysis,CMPSC 452
Computer Science,Introduction to Numerical Analysis 1,CMPSC 455
Computer Science,Introduction to Numerical Analysis 2,CMPSC 456
Computer Science,Computer Graphics Algorithms,CMPSC 457
Computer Science,Fundamentals of Computer Graphocs,CMPSC 458
Computer Science,Scientific Visualization,CMPSC 459
Computer Science,Principles of Programming Languages,CMPSC 460
Computer Science,Programming language Concepts,CMPSC 461
Computer Science,Data Structures,CMPSC 462
Computer Science,Design and Analysis of Algorithms,CMPSC 463
Computer Science,Introduction to the Theory of Computation,CMPSC 464
Computer Science,Data Structures and Algorithms,CMPSC 465
Computer Science,Factorization and Primality Testing,CMPSC 467
Computer Science,Formal Languages and Applications,CMPSC 469
Computer Science,Compiler Construction,CMPSC 470
Computer Science,Introduction to Compiler Construction,CMPSC 471
Computer Science,Operating Systems Concepts,CMPSC 472
Computer Science,Operating Systems Design & Construction,CMPSC 473
Computer Science,Operating System & Systems Programming ,CMPSC 474
Computer Science,Applications Programming,CMPSC 475
Computer Science,Language Translation,CMPSC 479
Computer Science,Software Design Methods,CMPSC 483
Computer Science,Computer Science Senior Project 1,CMPSC 484
Computer Science,Computer Science Senior Project 2,CMPSC 485
Computer Science,Software Engineering abd Design,CMPSC 487
Computer Science,Computer Science Project,CMPSC 488
Computer Science,Senior Honors Thesis,CMPSC 494
Computer Science,Psychology Research Project,CMPSC 496A
Computer Science,Contest Programming,CMPSC 497A
Computer Science,Cyber Security Context Problem Practice,CMPSC 497B
Computer Science,Stateware Project,CMPSC 497C
Computer Science,CyberLearnng Factory,CMPSC 497D
Computer Science,Introduction to Bioinformatics,CMPSC 497F
Computer Science,Introduction to Bioinformatics,CMPSC 498F
Computer Science,Calculus 1,MATH 140
Computer Science,Rhetoric & Composition,ENGL 15
Computer Science,Calculus 2,MATH 141
Computer Science,Mechanics,PHYS 211
Computer Science,Calculus 1,MATH 230
Computer Science,Matrices,MATH 220
Computer Science,Electricity & Magnetism,PHY 212
Computer Science,Effective Speech,CAS 100
Computer Science,Introduction to Digital ystems,CMPEN 271
Computer Science,Technical Writing,ENGL 202
Computer Science,Company Organization & Design,CMPEN 331
Computer Science,Elmentary Probability,STAT 318
Computer Science,Applied Statistics in Science,STAT 319
Data Science,Calculus with Analytic Geometry,MATH 140
Data Science,Introduction Python,CMPSC 121
Data Science,Elementary Statistics,STAT 200
Data Science,Calculus with Analytic Geometry 2,MATH 141
Data Science,Intermediate Python/Scala,CMPSC 122
Data Science,Rethoric & Composition,ENGL 015
Data Science,Matrices,MATH 220
Data Science,Calculus and Vector Analysis,MATH 230
Data Science,Effective Speech,CAS 100
Data Science,Data Management for Data Sciences,DS 220
Data Science,Introduction to Probability Theory,STAT 414
Data Science,Data Science Through Statistical Reasonong and Computation,STAT 380
Data Science,Effective Writing,ENGL 202C
Data Science,Data Privacy & Security,DS 300
Data Science,Mathematical Statistics,STAT 415
Data Science,Discrete Mathematics,CMPSC 360
Data Science,Applied Data Sciences,DC 340W
Data Science,Data Structures amd Algorithms,CMPSC 465
Data Science,Machine Learning,CMPSC 448
Data Science,Artificial Intelligence,CMPSC 442
Data Science,Programming Language Concepts,COMPSC 461
Data Science,Capstone,DS 440
Data Science,Data Analytics at Scale,DS 410
Data Science,Fundamentals of Computer Vision,CMPEN 454
Data Science,Concurrent Scientific Programming,CMPSC 450
Data Science,Numerical Computations,CMPSC 451
Data Science,Introduction to Numerical Analysis 1,CMPSC 455
Data Science,Introduction to Numerical Analysis 2,CMPSC 456
Data Science,Database Management Systems,CMPSC 431W
Data Science,Introduction to Neural Networks,EE 456
Data Science,Information Retrieval Organization,IST 441
Data Science,Stochastic Modeling,STAT 416
Data Science,Computational Statistics,STS 440
B.A Economics,Introductory Microeconomics Analysis and Policy,ECON 102
B.A Economics,Introductory Macroeconomics Analysis and Policy,ECON 104
B.A Economics,Statistical Soundations for Econometrics,ECON 106
B.A Economics,Intermediate Microeconomics Analysis,ECON 302
B.A Economics,Intermediate Macroeconomics Analysis,ECON 304
B.A Economics,Introduction to Econometrics,ECON 306
B.A Economics,Labor Economics,ECON 315
B.A Economics,Public Finance,ECON 323
B.A Economics,International Economics,ECON 333
B.A Economics,Industrial Organization,ECON 342
B.A Economics,Money and Banking,ECON 351
B.A Economics,History of Economics Thought,ECON 400
B.A Economics,Decision Making and Strategy in Economics,ECON 402
B.A Economics,The Economics of Arts and Entertainment,ECON 403
B.A Economics,Current Economic Issues,ECON 404
B.A Economics,The Economics of Social Conflict,ECON 406
B.A Economics,Political Economy,ECON 407
B.A Economics,Intellectual Propert,ECON 408
B.A Economics,Economics of Terrorism,ECON 409
B.A Economics,Economics of Labor Markets,ECON 410
B.A Economics,Behavioral Economics,ECON 411
B.A Economics,"Labor Economics and Labor Markets: Theory, Evidence and Policy",ECON 412
B.A Economics,Economics Growth and the Challenges of World Poverty,ECON 413
