Group,Course Name,Course Code,
Computer Science,Unix tools,CSCI-UA.0468,
Computer Science,Object-oriented programming,CSCI-UA.0470,
Computer Science,Artificial intelligence,CSCI-UA.0472,
Computer Science,Introduction to cryptography,CSCI-UA.0478,
Computer Science,Special topics in computer science,CSCI-UA.0480,
Computer Science,Problem solving,CSCI-UA.0597,
Computer Science,Intensive introduction to graduate study in computer science,CSCI-GA.1133,
Computer Science,Fundamental algorithms,CSCI-GA.1170,
Computer Science,Mathematical techniques for computer science application,CSCI-GA.1180,
Computer Science,Programming languages,CSCI-GA.2110,
Computer Science,Scientific computing ,CSCI-GA.2112,
Computer Science,Compiler construction,CSCI-GA.2130,
Computer Science,Open source tools,CSCI-GA.2246,
Computer Science,Operating systems,CSCI-GA.2250,
Computer Science,Data communication and networks,CSCI-GA.2262,
Computer Science,Computer graphics,CSCI-GA.2270,
Computer Science,Computer vision,CSCI-GA.2271,
Computer Science,Advanced computer graphics,CSCI-GA.2274,
Computer Science,Elements of discrete mathematics,CSCI-GA.2340,
Computer Science,Logic in computer science,CSCI-GA.2390,
Computer Science,Numerical methods,CSCI-GA.2420,
Computer Science,Databse systems,CSCI-GA.2433,
Computer Science,Advanced databased systems,CSCI-GA.2434,
Computer Science,Software engineering ,CSCI-GA.2440,
Computer Science,Bioinformatics and genomes,CSCI-GA.2520,
Computer Science,Artificial intelligence,CSCI-GA.2560,
Computer Science,Machine learning,CSCI-GA.2565,
Computer Science,Foundations of machine learning ,CSCI-GA.2566,
Computer Science,Inference and representation,CSCI-GA2569,
Computer Science,Web search engines,CSCI-GA.2580,
Computer Science,Speech recognition,CSCI-UA.2585,
Computer Science,Natural language processing,CSCI-GA.2590,
Computer Science,Network and mobile systems,CSCI-GA.2620,
Computer Science,Distributed computing,CSCI-GA.2631,
Computer Science,Advanced topics inapplied mathematics,CSCI-GA.2930,
Computer Science,Advanced topics in numerical analysis,CSCI-GA.2945,
Computer Science,Heuristic problem solving,CSCI-GA.2965,
Computer Science,Special topics in computer science,CSCI-GA.3033,
Computer Science,Applied cryptography and network security,CSCI-GA.3205,
Computer Science,Introduction to cryptography,CSCI-GA.3210,
Computer Science,Advanced cryptography,CSCI-GA.3220,
Economics,Introduction to macroeconomics,ECON-UA 1,
Economics,Statistics,ECON-UA 18,
Economics,Analytical statistics ,ECON-UA 20,
Economics,Intermediate microeconomics ,ECON-UA 10,
Economics,Microeconomics,ECON-UA 11,
Economics,Intermediate macroeconomics ,ECON-UA 12,
Economics,Macroeconomics,ECON-UA 13,
Economics,International economics ,ECON-UA 238,
Economics,Introduction to econometrics,ECON-UA 266,
Economics,Topics in economics,ECON-UA 380,
Economics,History of economics thought,ECON-UA 206,
Economics,Ethics and economics,ECON-UA 207,
Economics,Policy ideas in the history of economics thought,ECON-UA 208,
Economics,Game theory and strategy,ECON-UA 216,
Economics,Financial crises,ECON-UA 225,
Economics,Urban economics ,ECON-UA 227,
Economics,Money and banking,ECON-UA 231,
Economics,Poverty and income distribution,ECON-UA 233,
Economics,Gender and choices,ECON-UA 252,
Economics,Privatization,ECON-UA 270,
Economics,Topics in economics analysis,ECON-UA 290,
Economics,Strategic decision theory,ECON-UA 310,
Economics,Industrial organization,ECON-UA 316,
Economics,Market structure and preformance,ECON-UA 317,
Economics,Economic development ,ECON-UA 323,
Economics,Economics of energy and the environment ,ECON-UA 326,
Economics,Ownership and corperate control in advanced and transition economics,ECON-UA 340,
Economics,Behavioral economics ,ECON-UA 342,
Economics,Political economy ,ECON-UA 345,
Economics,Labor economics ,ECON-UA 351,
Economics,Public economics,ECON-UA 353,
Economics,Experimental economics,ECON-UA 360,
Economics,Elements of financial economics,ECON-UA 363,
Economics,Adavnced micro theory,ECON-UA 365,
Economics,Adavanced macroeconomics and finance ,ECON-UA 367,
Economics,Financial economics,ECON-UA 368,
Economics,Topics in economics theory,ECON-UA 375,
Economics,Advanced econometrics,ECON-UA 420,
Economics,Mathematics for economics ,ECON-GA 1001,
Economics,Microeconomics,ECON-GA 1003,
Economics,Applied statistics and econometrics,ECON-GA 1101,
Economics,Applied statistics and econometrics ||,ECON-GA 1102,
Economics,Special project in economics research ,ECON-GA 3200,
Biomolecular science,Introduction to cell and molecular biology,BMS-UY 1004,
Biomolecular science,Introduction to physiology,BMS-UY 2004,
Biomolecular science,Biostatustucs,BMS-UY 2512,
Biomolecular science,Genetics,BMS-UY 3114, 
Biomolecular science,Microbiology ,BMS-UY 3214,
Biomolecular science,Advanced cell and molecular biology,BMS-UY 3314,
Biomolecular science,Biophysics ,BMS-UY 4414,
Biomolecular science,Advanced cell and molecular biology,BMS-UY 4342,
Business and Technology Management,Foundation of management ,MG-UY 1002,
Business and Technology Management,Management of information technology and system,MG-UY 2004,
Business and Technology Management,Operations management ,MG-UY 2014,
Business and Technology Management,Organizational behavior ,MG-UY 2104,
Business and Technology Management,Financial accounting ,MG-UY 2204 ,
Business and Technology Management,Marketing,MG-UY 2304,
Business and Technology Management,Project management,MG-UY 3002,
Business and Technology Management,Management of data communication and networking,MG-UY 3024,
Business and Technology Management,Introduction to finance ,MG-UY 3204,
Business and Technology Management,Advanced corporate finance ,MG-UY 3214,
Business and Technology Management,Introduction to supply chain management ,MG-UY 3304,
Business and Technology Management,Innovation management,MG-UY 3404,
Business and Technology Management,Management strategy in technology sectors,MG-UY 4004,
Business and Technology Management,Introduction to e-business ,MG-UY 4014,
Business and Technology Management,Management science,MG-UY 4204,
Business and Technology Management,Financial strategy,MG-UY 4214,
Business and Technology Management,Entrepreneurship,MG-UY  4404,
Chemical and Biomolecular Engineering,Introduction to chemical and biomolecular engineering,CBE-UY 1002,
Chemical and Biomolecular Engineering,Analysis of chemical and biomolecular processes,CBE-UY 2124,
Chemical and Biomolecular Engineering,Chemical and biomolecular engineering thermodynamics,CBE-UY 3153,
Chemical and Biomolecular Engineering,Transport ,CBE-UY 3313,
Chemical and Biomolecular Engineering,Kinetics and reactor design,CBE-UY 3223,
Chemical and Biomolecular Engineering,Chemical and biomolecular engineering separations,CBE-UY 3233,
Chemical and Biomolecular Engineering,Chemical and biomolecular process design,CBE-UY 4263,
Civil Engineering,Introduction to civil engineering,CE-UY 1002,
Civil Engineering,Statics,CE-UY 2113,
Civil Engineering,Mechanics of materials,CE-UY 2213,
Civil Engineering,Transportation engineering ,CE-UY 2343,
Civil Engineering,Structural dynamics,CE-UY 3122,
Civil Engineering,Stractual analysis ,CE-UY 3133,
Civil Engineering,Geotechnical engineering,CE-UY 3153,
Civil Engineering,Materials engineering ,CE-UY 3162,
Civil Engineering,Structual design,CE-UY 3173,
Civil Engineering,"Leadrship, business principles, policy and ethics in civil engineering",CE-UY 4092,
Civil Engineering,Civil engineering design: site planning and design,CE-UY 4812,
Civil Engineering,Civil engineering design: structual design,CE-UY 4822,
Mathematicals,The art of mathematics,MA-UY 1002,
Mathematicals,Calculus | for engineers,MA-UY 1024,
Mathematicals,Integrated calculus | for engineers,MA-UY 1324,
Mathematicals,Calculus || for engineers ,MA-UY 1424,
Mathematicals,Element of linear algebra,MA-UY 2012,
Mathematicals,Multivariable calculus A,MA-UY 2112,
Mathematicals,Multivariable calculus B,MA-UY 2122,
Mathematicals,Ordinary differential equations ,MA-UY 2132,
Mathematicals,Data analysis ,MA-UY 2212,
Mathematicals,Probability ,MA-UY 3022,
Mathematicals,Complex variables ,MA-UY 3112,
Mathematicals,Introductory numerical analysis ,MA-UY 4423,
Mathematicals,Analysis ,MA-UY 4613,
Mechanical Engineering,Introduction to mechanical engineering,ME-UY 1012,
Mechanical Engineering,Computer aided design ,ME-UY 2112,
Mechanical Engineering,Statics ,ME-UY 2213,
Mechanical Engineering,Thermodynamic ,ME-UY 3333,
Mechanical Engineering,Mechanics of materials ,ME-UY 3213,
Mechanical Engineering,Measurement systems,ME-UY 3513,
Mechanical Engineering,Dynamics,ME-UY 3223,
Mechanical Engineering,Machine design ,ME-UY 3233,
Mechanical Engineering,Fluid mechanics ,ME-UY 3313,
Mechanical Engineering,Automatic control,ME-UY 3413,
Mechanical Engineering,"Finite element modeling, design and analysis ",ME-UY 4214,
Mechanical Engineering,Heat transfer,ME-UY 4313,
Accounting,Principles of financial accounting ,ACCT-UB.0001,
Accounting,Financial statement analysis ,ACCT-UB.0003,
Accounting,Managerial accounting,ACCT-UB.0004,
Accounting,Financial modeling and analysis ,ACCT-UB.0023,
Accounting,Financial reporting and disclousre,ACCT-UB.0021,
Accounting,"Accounting for mergers, acquisitions and related matters",ACCT-UB.0023,
Accounting,Advanced financial analysis,ACCT-UB.0030,
Accounting,Financial reporting and disclosure,ACCT-GB.2302,
Accounting,An integrated approach to financial statement analysis ,ACCT-GB.2303,
Accounting,Taxed and business strategy,ACCT-GB.2305,
Accounting,Modeling financial statemnets,ACCT-GB.3104,
Accounting,Forensic accounting and financial statement fraud ,ACCT-GB.3310,
Accounting,Auditing,ACCT-GB.3313,
Accounting,Analysis of financial institutions and financial instruments ,ACCT-GB.3321,
Accounting,"Accounting for mergers, acquisitions and related matters",ACCT-GB.3330,
Accounting,Modeling corporate transactions,ACCT-GB.3344,
Accounting,Taxation of individuals and business income,ACCT-GB.3380,
Accounting,Empirical research accounting,ACCT-GB.4301,
Accounting,Theory and research of managerial accounting,ACCT-GB.4302,
Accounting,Empirical research in financial accounting,ACCT-GB.4310,
Accounting,Equity valuation and accounting data theory,ACCT-GB.4311,
Accounting,Internal controls and accounting information systems,ACCT-GB6215,
Accounting,Financial statement modeling,ACCT-GB.6300,
Accounting,Auditing,ACCT-GB.6313,
Accounting,Advanced managerial accounting,ACCT-GB.6331,
Accounting,Taxation of individual and business income,ACCT-GB.6380,
Finance,Foundations of finance,FINC-UB.0002,
Finance,Corporate finance,FINC-UB.0007,
Finance,Advanced corporate finance,FINC-UB.0008,
Finance,The financial crisis of 2007-2009,FINC-UB.0011,
Finance,Alternative investments,FINC-UB.0015,
Finance,Risk management in financial,FINC-UB.0022,
Finance,Emerging markets finace ,FINC-UB.0023,
Finance,Debt instruments and markets,FINC-UB.0026,
Finance,Behavioral finance,FINC-UB.0029,
Finance,International financial management ,FINC-UB.0030,
Finance,Real estate investment strategies ,FINC-UB.0035,
Finance,Real estate finance ,FINC-UB.0039,
Finance,Equity valuation ,FINC-UB.0041,
Finance,Microfinance,FINC-UB.0042,
Finance,Futures and options,FINC-UB.0043,
Finance,Investments banking,FINC-UB0045,
Finance,Principles of securities trading ,FINC-UB.0049,
Finance,Corporate mergers & acquisitions,FINC-UB.0050,
Finance,Topic of entrepreneurial finance,FINC-UB.0061,
Finance,Hedge fund strategies ,FINC-UB.0066,
Finance,Financial analysis for EMT,FINC-UB.0068,
Finance,Risk and insurance ,FINC-UB.0081,
Finance,The financial system,FINC-UB.0027,
Finance,Taxes and investing,FINC-GB.2110,
Finance,Behavioral finance & economics,FINC-GB.2111,
Finance,Empirical methods corporate finance,FINC-GB.2112,
Finance,Corporate finance,FINC-GB.2302,
Finance,Restructuring firms and industries ,FINC-GB.2304,
Finance,Managing financial business ,FINC-GB.2310,
Finance,Real estate capital markets,FINC-GB.2339,
Finance,Real estate investment strategy,FINC-GB.2341,
Finance,Cases in financial management,FINC-GB.2345,
Finance,Trading in cash and derivative securties,FINC-GB.2349,
Finance,Alternative investments: principles and strategies,FINC-GB.2350,
Finance,International finance- international investments analysis ,FINC-GB.3103,
Finance,Volatility ,FINC-GB.3105,
Finance,Topics in credit risk,FINC-GB. 3106,
Finance,Risk management in financial institutions ,FINC-GB.3112,
Finance,Private banking and wealth management,FINC-GB.3120,
Finance,Investment strategies,FINC-GB.3122,
Finance,Corporate strategy and financial in entertainment and media ,FINC-GB.3125,
Finance,Financial analysis- entertainment and media,FINC-GB.3126,
Finance,Business development in media and entertainment,FINC-GB.3128,
Finance,Behaviorial and experimental finance,FINC-GB.3129,
Finance,Digital music business ,FINC-GB.3143,
Finance,Investment  banking and private equity in media and entertainment finance,FINC-GB.3145,
Finance,Social venture capital ,FINC-GB.3148,
Finance,Structure and dynamics of financial markets ,FINC-GB.3149,
Finance,Cases in corporate finance,FINC-GB.3161,
Finance,Venture capital financing,FINC-GB.3173,
Finance,Arbitrage trading strategies,FINC-GB.3181,
Finance,Global value investing,FINC-GB.3182,
Finance,Margers and equisitions,FINC-GB.3196,
Finance,Bankruptcy and reorginization,FINC-GB.3198,
Finance,Credit risk,FINC-GB.3305,
Finance,Risk management in financial institutions ,FINC-GB.3312,
Finance,Risk and insurance ,FINC-GB.3313,
Finance,Managing investment funds,FINC-GB.3320,
Finance,Hedge fund strategies ,FINC-GB.3321,
Finance,Behavioral finance,FINC-GB.3329,
Finance,Valuation,FINC-GB.3331,
Finance,Portfolio management ,FINC-GB.3332,
Finance,Debt instruments and markets,FINC-GB.3333,
Finance,Futures and options,FINC-GB.3335,
Finance,Advanced futures and options,FINC-GB.3340,
Finance,Business of music and film,FINC-GB.3343,
Finance,Law and business of corporate transactions,FINC-GB.3345,
Finance,Legal foundations of applied finance,FINC-GB.3346,
Finance,Investing for envirinmental and social impact,FINC-GB.3348,
Finance,Equity markets: trading and structure ,FINC-GB.3349,
Finance,Law and management of financial services businesses,FINC-GB.3353,
Finance,Investing in microfinance,FINC-GB.3354,
Finance,Private investing and wealth management ,FINC-GB.3357,
Finance,Operating hedge funds,FINC-GB.3366,
Finance,Private equity deal analysis and simulation,FINC-GB.3368,
Finance,Entrepreneual finance,FINC-GB.3361,
Finance,Private equity finance ,FINC-GB.3365,
Finance,New venture financing,FINC-GB.3373,
Finance,Emerging financial markets,FINC-GB.3384,
Finance,Global banking and capital markets,FINC-GB.3387,
Finance,Global financial markets ,FINC-GB.3388,
Finance,Law and business of bankruptcy and reorginization,FINC-GB.3399,
Management and Organizations,Management and organization (MCT essential),MGMT-UB.0001,
Management and Organizations,International business management ,MGMT-UB.0004,
Management and Organizations,Managing people and teams,MGMT-UB.0007,
Management and Organizations,Managing innovation (MCT),MGMT-UB.0008,
Management and Organizations,Managing in creative industries,MGMT-UB.0009,
Management and Organizations,Strategic analysis (MCT essential),MGMT-UB.0018,
Management and Organizations,Managerial skills ,MGMT-UB.0021,
Management and Organizations,Managing chang (MCT),MGMT-UB.0025,
Management and Organizations,Managing family business and privately held firms,MGMT-UB.0028,
Management and Organizations,Neogotations and consensus building ,MGMT-UB.0030,
Management and Organizations,Growth strategy and management ,MGMT-UB.0035,
Management and Organizations,Power and politics,MGMT-UB.0066,
Management and Organizations,Patterns of entrepreneurship ,MGMT-UB.0085,
Management and Organizations,Globalization and risk,MGMT-GB.2140,
Management and Organizations,Managing change ,MGMT-GB.2353,
Management and Organizations,Leadership models,MGMT-GB.2363,
Management and Organizations,Strategic design ,MGMT-GB.2370,
Management and Organizations,Advanced strategy tools,MGMT-GB.2375,
Management and Organizations,Managerial decision making,MGMT-GB.3151,
Management and Organizations,Power and professional influence ,MGMT-GB.3165,
Marketing,Introduction to marketing,MKTG-UB 1,
Marketing,Consumer behavior ,MKTG-UB 2,
Marketing,Research for customer insight,MKTG-UB 9,
Marketing,Advertising ,MKTG-UB 3,
Marketing,Managing creative content development,MKTG-UB 4,
Marketing,The business of publishing,MKTG-UB 19,
Marketing,The business of film,MKTG-UB 20,
Marketing,Movie marketing,MKTG-UB 22,
Marketing,The impact to technology of entertainment and media ,MKTG-UB 23,
Marketing,Business of broadway,MKTG-UB 25,
Marketing,Entertainment and media industries,MKTG-UB 40,
Marketing,Television management ,MKTG-UB 44,
Marketing,Social media strategy,MKTG-UB 45,
Marketing,Globalization of the entertainment idustry ,MKTG-UB 46,
Marketing,Sport marketing,MKTG-UB 47,
Marketing,The business of producing ,MKTG-UB 49,
Marketing,Craft of commerce of cinema: Tribeca film festival,MKTG-UB 51,
Marketing,Pricing,MKTG-UB 53,
Marketing,Data driven decision making,MKTG-UB 54,
Marketing,Brand strategy and planning,MKTG-UB 55,
Marketing,Digital business strategies,MKTG-UB 56,
Marketing,Digital marketing,MKTG-UB 57,
Marketing,The business of video games,MKTG-UB 58,
Marketing,Designing and developing new products,MKTG-UB 60,
Marketing,Launching and managing new products,MKTG-UB 61,
Marketing,Global marketing management ,MKTG-UB 64,
Marketing,Decision making strategy,MKTG-UB 65,
Marketing,Leisure marketing,MKTG-UB 80,
Marketing,Luxury marketing,MKTG-UB 84,
Marketing,Advanced luxury marketing,MKTG-UB 86,
Marketing,Retail strategy ,MKYG-UB 88,
Marketing,Retail management and merchandising,MKTG-UB 89,
Marketing,Globalization of the entertainment idustry ,MKTG-GB.2112,
Marketing,The business of sports marketing,MKTG-GB.2114,
Marketing,The business of producing: entrepreneurship in the entertainment and media,MKTG-GB.2116,
Marketing,Television management ,MKTG-GB.2118,
Marketing,Entertainment and media industries,MKYG-GB.2119,
Marketing,Movie marketing and distribution,MKTG-GB.2120,
Marketing,Financial services marketing ,MKTG-GB.2121,
Marketing,Marketing strategy for service economy:from acqusition to retention,MKTG-GB.2122,
Marketing,Deal making and business development in media,MKTG-GB.2123,
Marketing,Luxury marketing ,MKTG-GB.2126,
Marketing,Advanced luxury marketing,MKTG-GB.2127,
Marketing,Consultative selling,MKTG-GB.2128,
Marketing,Sales management ,MKTG-GB.2129,
Marketing,Innovation in pharma and biotech,MKTG-GB.2130,
Marketing,Consultative sales planning and development ,MKTG-GB.2138,
Marketing,Consumer neuroscience,MKTG-GB.2146,
Marketing,Social media,MKTG-GB.2150,
Marketing,Mobile for managers ,MKTG-GB.2151,
Marketing,Promotions,MKTG-GB.2152,
Marketing,Pricing,MKTG-GB.2153,
Marketing,Research methods for customer insights,MKTG-GB.2158,
Marketing,Marketing for entrepreneurs ,MKTG-GB.2172,
Marketing,New media in marketing,MKTG-GB.2173,
Marketing,Marketing metrics,MKTG-GB.2180,
Marketing,Creativity,MKTG-GB.2181,
Marketing,Marketing hi tech products,MKTG-GB.2190,
Marketing,Tech products management,MKTG-GB.2191,
Marketing,Predicting the future of technology,MKTG-GB.2192,
Mathematics,Algebra and calculus,MATH-UA 009,
Mathematics,Discrete mathematics,MATH-UA 120,
Mathematics,Calculus ,MATH-UA 121,
Mathematics,Linear algebra ,MATH-UA 140,
Mathematics,Intoduction to computer simulation ,MATH-UA 144,
Mathematics,Mathematics for economics,"MATH-UA 211, 212",
Mathematics,Vector analysis ,MATH-UA 224,
Mathematics,Earth's atmosphere and ocean: fluid dynamics and climate ,MATH-UA 228,
Mathematics,Introduction to fluid dynamics,MATH-UA 230,
Mathematics,Theory of probability ,MATH-UA 233,
Mathematics,Mathematical statistics ,MATH-UA 234,
Mathematics,Probability and statistics,MATH-UA 235,
Mathematics,Combinatorics,MATH-UA 240,
Mathematics,Theory of numbers,MATH-UA 248,
Mathematics,Mathematics of finance,MATH-UA 250,
Mathematics,Introduction to mathematical modeling,MATH-UA 251,
Mathematics,Numerical analysis,MATH-UA 252,
Mathematics,Mathematical in medicine and biology,MATH-UA 255,
Mathematics,Computers in medicine and biology ,MATH-UA 256,
Mathematics,Ordinary differential equations,MATH-UA 262,
Mathematics,Partial differential equations ,MATH-UA 263,
Mathematics,Chaos and dynamical systems,MATH-UA 264,
Mathematics,Tranformations and geometries,MATH-UA 270,
Mathematics,Functions of a complex variable,MATH-UA 282,
Mathematics,Analysis ,MATH-UA 325,
Mathematics,Algebra,MATH-UA 343,
Mathematics,Topology,MATH-UA 375,
Mathematics,Differential geometry,MATH-UA 377,
Management,Orginizational behavior,MG-GY 6013,
Management,Marketing,MG-GY 6073,
Management,Economics ,MG-GY 6083,
Management,Accounting and finance,MG-GY 6093,
Management,Management of information technology and information system ,MG-GY 6503,
Management,Technology startegy ,MG-GY 8673,
Physics,The universe: its nature and history,PHYS-UA 7,
Physics,Origins of astronomy,PHYS-UA 8,
Physics,Sound and music,PHYS-UA 10,
Physics,General physics,PHYS-UA 11,
Physics,Observational astronomy,PHYS-UA 13,
Physics,Physics and astronomy in the renaissance,PHYS-UA 14,
Physics,"20th-century concepts of space, time, and matter ",PHYS-UA 20,
Physics,Introductory experimental physics,"PHYS-UA 71,72",
Physics,Intermediate experimental physics,"PHYS-UA 73,74",
Physics,Physics,"PHYS-UA 91,93,95",
Physics,Classical and quantum waves ,PHYS-UA 105,
Physics,Mathematical physics,PHYS-UA 106,
Physics,Electronics for scientist,PHYS-UA 110,
Physics,Advanced experimental physics,PHYS-UA 112,
Physics,Dynamics ,PHYS-UA 120,
Physics,Quantum mechanics,"PHYS-UA 123,124",
Physics,Electricity and magnestism,"PHYS-UA 131, 132",
Physics,Optics,PHYS-UA 133,
Physics,Condensed matter physics,PHYS-UA 135,
Physics,Quantum information and quantum computing,PHYS-UA 138,
Physics,Thermal and statistical physics,PHYS-UA 140,
Physics,Astrophysics,PHYS-UA 150,
Physics,Physics of biology,PHYS-UA 160,
Physics,General relativity,PHYS-UA 170,
Physics,Introduction to fluid dynamics,PHYS-UA 180,
Physics,Philosophy of physics,PHYS-UA 190,
Physics,Computational physics,PHYS-UA 210,
Physics,Special topics in physics,PHYS-UA 800,
Psychology,Introduction to psychology,PSYCH-UA 1,
Psychology,Statistical reasoning for the behavioral sciences,PSYCH-UA 10,
Psychology,Advanced psychology statistics ,PSYCH-UA 11,
Psychology,Pereception ,PSYCH-UA 22,
Psychology,Cognitive neuroscience,PSYCH-UA 25,
Psychology,Cognition,PSYCH-UA 29,
Psychology,Developmental psychology ,PSYCH-UA 34,
Psychology,Language and mind ,PSYCH-UA 27,
Psychology,Abnormal psychology ,PSYCH-UA 51,
Psychology,Psycholinguistics,PSYCH-UA 56,
Psychology,Industrial and orginizational psychology,PSYCH-UA 62,
Psychology,Motivation and volition,PSYCH-UA 74,
Psychology,Close relationship,PSYCH-UA 300,
Law,Contracts ,LAW-LW.11672,
Law,Procedure,LAW-LW.11650,
Law,Torts,LAW-LW.11275,
Law,Lawyering ,LAW-LW.10687,
Law,Legislation and the regulatory state,LAW-LW.10925,
Law,Criminal law ,LAW-LW.11147,
Law,Constitutional law ,LAW-LW.10598,
Law,Corporations,LAW-LW.10223,
Law,Income taxation,LAW-LW.10694,
Law,International law,LAW-LW.11577,
Law,Property,LAW-LW.10427,
